ForecastID,Confirmed,Deaths
0,270887.0,3911.0
1,37027.0,145.0
2,364404.0,6965.0
3,171583.0,2643.0
4,1361117.0,19962.0
5,262457.0,3402.0
6,129530.0,5166.0
7,39757.0,784.0
8,1059442.0,19173.0
9,503459.0,9840.0
10,18852.0,263.0
11,111154.0,1046.0
12,790137.0,14191.0
13,382755.0,6280.0
14,245555.0,2722.0
15,173577.0,1810.0
16,201458.0,2083.0
17,249318.0,6567.0
18,13397.0,231.0
19,215339.0,4848.0
20,256661.0,10987.0
21,433916.0,10444.0
22,351103.0,4039.0
23,165398.0,3970.0
24,329558.0,4317.0
25,67967.0,745.0
26,140524.0,1217.0
27,168376.0,2325.0
28,24820.0,563.0
29,367007.0,17327.0
30,108782.0,1770.0
31,706484.0,34932.0
32,392980.0,5549.0
33,83189.0,1027.0
34,476587.0,7015.0
35,216433.0,1893.0
36,84826.0,1045.0
37,426896.0,11320.0
38,63100.0,1421.0
39,231602.0,4539.0
40,86272.0,1115.0
41,402159.0,4953.0
42,1324853.0,23241.0
43,215983.0,950.0
44,5025.0,81.0
45,253960.0,4219.0
46,177996.0,2946.0
47,54750.0,843.0
48,442994.0,3999.0
49,36399.0,272.0
50,274184.0,3945.0
51,37783.0,147.0
52,369909.0,7006.0
53,173784.0,2666.0
54,1384293.0,20055.0
55,267567.0,3448.0
56,131345.0,5186.0
57,40418.0,785.0
58,1069246.0,19262.0
59,507547.0,9888.0
60,18966.0,266.0
61,112603.0,1060.0
62,800299.0,14367.0
63,390491.0,6352.0
64,247726.0,2763.0
65,175791.0,1835.0
66,204851.0,2104.0
67,251459.0,6585.0
68,13668.0,234.0
69,218293.0,4875.0
70,261305.0,11020.0
71,441257.0,10567.0
72,356926.0,4099.0
73,167337.0,3992.0
74,333529.0,4359.0
75,68865.0,755.0
76,142481.0,1239.0
77,171125.0,2348.0
78,25409.0,567.0
79,372029.0,17348.0
80,110708.0,1802.0
81,716842.0,34960.0
82,397407.0,5582.0
83,83874.0,1041.0
84,485741.0,7083.0
85,219621.0,1912.0
86,86408.0,1064.0
87,438157.0,11449.0
88,64063.0,1428.0
89,233970.0,4561.0
90,87241.0,1139.0
91,406797.0,5001.0
92,1338062.0,23429.0
93,219122.0,962.0
94,5156.0,82.0
95,256746.0,4241.0
96,180198.0,2966.0
97,55928.0,858.0
98,448070.0,4065.0
99,36932.0,277.0
100,277482.0,3979.0
101,38539.0,149.0
102,375413.0,7046.0
103,175985.0,2689.0
104,1407468.0,20148.0
105,272677.0,3493.0
106,133160.0,5205.0
107,41079.0,787.0
108,1079050.0,19352.0
